No,TMNo,EnNo,Name,INOUT,Mode,DateTime
126,1,26,,0,0,8/1/2019 16:33
127,1,27,,0,0,8/1/2019 16:33
128,1,31,,0,0,8/1/2019 16:42
129,1,28,,0,0,8/1/2019 16:42
130,1,36,,0,0,8/1/2019 16:43
131,1,5,,0,0,8/1/2019 18:37
132,1,4,,0,0,8/1/2019 18:45
133,1,9,,0,0,8/2/2019 7:59
134,1,10,,0,0,8/2/2019 7:59
135,1,11,,0,0,8/2/2019 8:00
136,1,12,,0,0,8/2/2019 8:01
137,1,3,,0,0,8/2/2019 8:01
138,1,16,,0,0,8/2/2019 8:04
139,1,13,,0,0,8/2/2019 8:04
140,1,14,,0,0,8/2/2019 8:04
141,1,35,,0,0,8/2/2019 8:10
142,1,23,,0,0,8/2/2019 8:38
143,1,24,,0,0,8/2/2019 8:38
144,1,37,,0,0,8/2/2019 8:39
145,1,18,,0,0,8/2/2019 8:39
146,1,10,,0,0,8/2/2019 9:09
147,1,11,,0,0,8/2/2019 9:12
148,1,12,,0,0,8/2/2019 9:12
149,1,14,,0,0,8/2/2019 9:12
150,1,13,,0,0,8/2/2019 9:12
151,1,5,,0,0,8/2/2019 9:22
152,1,18,,0,0,8/2/2019 9:32
153,1,38,,0,0,8/2/2019 14:01
154,1,27,,0,0,8/2/2019 14:05
155,1,25,,0,0,8/2/2019 14:10
156,1,26,,0,0,8/2/2019 14:17
157,1,28,,0,0,8/2/2019 14:40
158,1,30,,0,0,8/2/2019 14:54
159,1,36,,0,0,8/2/2019 15:01
160,1,31,,0,0,8/2/2019 15:05
161,1,30,,0,0,8/2/2019 16:01
162,1,27,,0,0,8/2/2019 16:01
163,1,26,,0,0,8/2/2019 16:01
164,1,28,,0,0,8/2/2019 16:02
165,1,25,,0,0,8/2/2019 16:02
166,1,36,,0,0,8/2/2019 16:02
167,1,29,,0,0,8/2/2019 16:02
168,1,31,,0,0,8/2/2019 16:03
169,1,9,,0,0,8/2/2019 18:57
170,1,10,,0,0,8/3/2019 7:58
171,1,9,,0,0,8/3/2019 7:58
172,1,13,,0,0,8/3/2019 8:00
173,1,12,,0,0,8/3/2019 8:02
174,1,20,,0,0,8/3/2019 8:03
175,1,35,,0,0,8/3/2019 8:09
176,1,32,,0,0,8/3/2019 8:15
177,1,3,,0,0,8/3/2019 8:16
178,1,17,,0,0,8/3/2019 8:24
179,1,37,,0,0,8/3/2019 8:31
180,1,23,,0,0,8/3/2019 8:31
181,1,4,,0,0,8/3/2019 9:12
182,1,35,,0,0,8/3/2019 9:20
183,1,13,,0,0,8/3/2019 9:21
184,1,12,,0,0,8/3/2019 9:21
185,1,10,,0,0,8/3/2019 9:22
186,1,5,,0,0,8/3/2019 9:25
187,1,32,,0,0,8/3/2019 9:37
188,1,1,,0,0,8/3/2019 10:11
189,1,24,,0,0,8/3/2019 11:05
190,1,23,,0,0,8/3/2019 11:05
191,1,37,,0,0,8/3/2019 11:05
192,1,19,,0,0,8/3/2019 11:06
193,1,27,,0,0,8/3/2019 14:03
194,1,38,,0,0,8/3/2019 14:04
195,1,28,,0,0,8/3/2019 14:45
196,1,30,,0,0,8/3/2019 14:51
197,1,31,,0,0,8/3/2019 15:06
198,1,36,,0,0,8/3/2019 15:19
199,1,39,,0,0,8/3/2019 16:17
200,1,27,,0,0,8/3/2019 16:41
201,1,28,,0,0,8/3/2019 16:55
202,1,31,,0,0,8/3/2019 16:55
203,1,29,,0,0,8/3/2019 16:55
204,1,30,,0,0,8/3/2019 16:55
